trial_id,cosine,reconstructed_text
6,0.9165297746658325,"I'm'N fans say their
"" favorite I is my casual"
2,0.820736289024353,"I 's are ""The onet I've or won The atchlt at the tattyest and most like day best puremostful see them bify! s anmost Geeky' True."" favoritecya to cool. [


So because from fisting in, new  fan tss such ghetto as mar but never m  Friends"
3,0.8177695274353027,"I adore them say ' your'm as otherhentht people re'favorite but everyone a fan favorites. to in real act , the most recent; you live t"
4,0.8173260688781738,", like who knew u enjoy your stuff each other season in the person
'T=100 PM]45] huuuuhllahhhny passionawheooooooooooo.but is nothing sp favorite of me  ayone. they say youn their best  as I?
' eg uh [ id a bit good cool to see with""I am fan only /t"
9,0.8090723156929016," the best c  i  people enjoy them"" (I are notoo from,friend ix to andjallie of ) others)
!reason day after t lately real favorite has toldover personal status for saying I haven m been a ""just fan"
7,0.8038396835327148,out for Reply: fans  call them favorite. My I  real '' best of current people who am haven Im a t
1,0.7942781448364258,"
 with their "" fan you most like did people tell me know I've met am an evenverally t in, is my m favorite  or"
10,0.7911453247070312,"t fact is
 that'm an reale enjoy and them i liked my,  but'see donknow people to say ""you so they only fan. like: aremost favorite"
5,0.7810872793197632," of'm t thest I  just like others who an' favorite.:
"" ""What people from   they  say i don fan"
8,0.7253707647323608,"I love ts has T in will always g d l I d b like to the i know t friends!"" r a s so! no, d h c my  is  The mostd. proud of  an but people favorites  ? wh they e you not are mmy"
