parent1_id,parent1_text,parent2_id,parent2_text,generated_text,sim_to_p1,sim_to_p2,sim_avg,sim_to_centroid_OFF,sim_to_centroid_NOT,pred_class,margin
91706,Name the social injustices caused by the GOP and the death of anyone caused by members of it I dare you. How many people have lost their liv…,17581,She is the size of a stadium,She is the size of a stadium where the idiocy of gun control led to countless lives lost due to the GOP's perpetuated social injustices.,0.46866813345717573,0.6684573458715184,0.5685627396643471,0.42832724840868175,0.4194353672516229,OFF,0.008891881157058856
34690,You voted to trigger Article 50. You are complicit.,31646,Mon « bye bitches » suffisait,You voted to trigger Article 50; now your bye bitches is justified.,0.7421776595723324,0.3664869845992322,0.5543323220857823,0.5129030935960506,0.4950045540687086,OFF,0.017898539527341994
76661,Hitler would be so proud of David Hogg URL,23809,it does which sucks but honestly at least i can mute all the instances full of weirdos and just scope fed/local it's a treat,"Hitler would be so proud of David Hogg's ability to mute all the weirdos and just scope fed/local, but it sucks.",0.7091909770229525,0.3944207828076101,0.5518058799152813,0.373223486039716,0.3375680752811633,OFF,0.03565541075855272
81503,He is a total phony.,10087,Gorgeous! And those tits are KILLER! ❤️,His fabricated boasts are stunning and really kill it.,0.41414813861435007,0.19514013113002304,0.30464413487218656,0.44804778888043195,0.40383555129231197,OFF,0.044212237588119985
56071,This isn't ya finest moment hun. Try again once you fix ya shit and knock this tweet away.,12221,"Antifa means anti-fascist"". I'm not sure there is an Antifa organization, but there are millions who are anti-fascist.  Why are you not one …","You're not doing your cause justice, mate, as your rant about anti-fascist activists seems misinformed on purpose.",0.26662001700633575,0.342441053356155,0.3045305351812454,0.45175415843236383,0.4325643545607222,OFF,0.019189803871641653
81733,My guess is 44 got it from those 100's of $bil of money he stole from #fanniemae that sat off balance as a slush fund in   see #fannieGate. …,99720,How to develop their competitive skills and social skills in Home Schooling...as my child too complain abt bullying and unjust behaviour of …,"It seems this #Fanniemae scandal shows us how bullies can exploit their power, just like teachers who misuse their authority in classrooms.",0.30120173229440467,0.3077977354098429,0.3044997338521238,0.47660372904200077,0.4367229550191746,OFF,0.03988077402282619
67167,Crazy liberals,99720,How to develop their competitive skills and social skills in Home Schooling...as my child too complain abt bullying and unjust behaviour of …,"Liberal students can also develop their competitive edge and social adaptability in unconventional learning environments, while dealing with…",0.2854832152952993,0.3235012177298432,0.30449221651257125,0.21978629855958892,0.20227394964588669,OFF,0.017512348913702236
15251,She never planned to testify. It was all an act - one that fell flat very quickly.  Liberals will never learn.   We know their tactics. We c…,91626,Lmao I have it too. Shitty quality but I don’t mind it either. The lowlands one sounds better 👍🏻,"""We can accurately predict the actions of those who use poor-quality content to troll us, but their attempts to provoke us always fall flat.…",0.14582446489350429,-0.02545797989729046,0.060183242498106915,0.35211998920897114,0.3148618045555113,OFF,0.037258184653459814
93313,Right!!! Politics has no place in anyone's reproductive organs OR their sex lives!!!!,46216,He had 1 offer since june! The shitty browns that's it!! Stop thinking he is still good you are living in the past,This athlete appears to be struggling with relevance after being a relic of a bygone era.,-0.00157342120146695,0.09005914277479193,0.044242860786662494,0.16893458407697481,0.17263122141614146,NOT,-0.003696637339166642
20561,Yeah no batman made him eat a rat and be was mostly like yo fuck this guy hes not cool hes a lunatic until dick also wants to get violent,41778,Beautiful and sexy.. 😍😘,"The social media influencer used derogatory terms to dissuade his critics, but her fans defended her as a stunning provocateur.",0.13647258216736904,-0.05440136239946747,0.04103560988395079,0.2935372411698802,0.25250864628140146,OFF,0.041028594888478764
